,reviews
10,Cute
11,"I have not read a play in quite a while, and not one from Indian mythology, far as I can remember. I knew the story of Shakuntala and Dushyanta, and this book was good to read. The book is famous, of course, and the translation I felt did justice to the poetry in it. I'd got this book in a lucky pick at a literary festival, and I'm glad I picked this book in the few seconds I had to choose from many.
I have not read a play in quite a while, and not one from Indian mythology, far as I can remember. I knew the story of Shakuntala and Dushyanta, and this book was good to read. The book is famous, of course, and the translation I felt did justice to the poetry in it. I'd got this book in a lucky pick at a literary festival, and I'm glad I picked this book in the few seconds I had to choose from many.
...more"
12,SuperbKalidas was Indian poet who created many texts which should be respected by young generation. Ironically colonial era of India has creates gap which should be full filled. Must read for the people who like Natya shashtra
13,"Rating: 3.5/5It is the ancient story of Shakuntala and Dushyanta who fall in love and marry in secret like the celestials. A curse nearly brings about disaster, obstacles ensue and are overcome. All is forgiven.I did not love this as much as I ought to. I am bound to this play as it is part of my cultural heritage but the suffocating patriarchal values and themes enrage me. I have always admired the arc of the ring. It is an amazing plot device. The poetry drips from the tongue like honey. But i
Rating: 3.5/5It is the ancient story of Shakuntala and Dushyanta who fall in love and marry in secret like the celestials. A curse nearly brings about disaster, obstacles ensue and are overcome. All is forgiven.I did not love this as much as I ought to. I am bound to this play as it is part of my cultural heritage but the suffocating patriarchal values and themes enrage me. I have always admired the arc of the ring. It is an amazing plot device. The poetry drips from the tongue like honey. But in the end, I am slightly disappointed that Shakuntala didn’t pull a Sita and refuse to go back with Dushyanta.The translation was easy to read but saying it is a twenty-first century translation is not an excuse to dump a bunch of heys and okays into an ancient work. It is clunky and it is, to me - I grew up listening to Sanskrit verses - evident that it doesn’t flow like Sanskrit verse. The translator just doesn’t let proper nouns just be. He translated the name of a deer as Baby Long Eyes, at which point I just went ...you took your role as translator too far.
...more"
14,"The most famous play in the Sanskrit theatre, dated in the first half of the first millennium C.e. It is based on a short story included in the Mahabharata, the great Hindu epic poem. The father of the main character also appears in the other great epic, Ramayana. The plot is about love reciprocated, rejected, mourned and recovered. Curiously enough, it makes clear that Hindu asceticism did not tend to promote humility, but pride, as indicated by the ease with which a Hindu holy man (who not eve
The most famous play in the Sanskrit theatre, dated in the first half of the first millennium C.e. It is based on a short story included in the Mahabharata, the great Hindu epic poem. The father of the main character also appears in the other great epic, Ramayana. The plot is about love reciprocated, rejected, mourned and recovered. Curiously enough, it makes clear that Hindu asceticism did not tend to promote humility, but pride, as indicated by the ease with which a Hindu holy man (who not even appears on stage) consideres himself mistreated by Shakuntala because she was preoccupied thinking about her love, and did not receive him properly. The holy man's curse causes all the subsequent misfortunes in the play.
...more"
15,"It was a wonderful read, but I was expecting more erotic tensions between Dusyanta and Sakuntala. The book is sufficiently supported with references, notes and further reading. Being one of the widely read stories, I think it has been a little toned down on the erotic part. I have heard my friends tell me that it is little more aesthetically erotic in the original and Bengali versions."
16,"A good edition and readable translation, with helpful notes and an adequate introduction summarizing the historical context of the play in Sanskrit literature and the current scholarship on its aesthetics (very well referenced!)."
17,"This was a fun play. Mystical elements of Indian culture, along with brief cameos of gods and goddesses throughout, all intertwined in a love story. It was fairly easy to read, yet enjoyable for what it is"
18,"A beautiful love story along the lines of a Greek epic. This was a great translation. A beautiful young woman and young king fall in love, get married, but then get cursed so that the king forgets his wife until the spell is broken."
19,"A cute and rather enjoyable old play. The plot and love story seems predictable today, but that's probably because this was the mold.
A cute and rather enjoyable old play. The plot and love story seems predictable today, but that's probably because this was the mold.
...more"
20,I don’t even know how to rate this tbh. It wasn’t the worst thing I’ve read for class I guess lol
21,"I've read Śakuntalā in the translation of Chandra Rajan.A play told as if it were a fairytale. A fairytale told as if it were a poem. Śakuntalā has been widely considered Kalidasa's ultimate achievement and rightly so. It is a play of wonders, of colourful larger-than-life characters and whimsical scenery. It's above all a joyous read, as most Kalidasa is. This is one of those works that you read with a grin on your face the whole way through, even at its most tragic, simply because it's so beau
I've read Śakuntalā in the translation of Chandra Rajan.A play told as if it were a fairytale. A fairytale told as if it were a poem. Śakuntalā has been widely considered Kalidasa's ultimate achievement and rightly so. It is a play of wonders, of colourful larger-than-life characters and whimsical scenery. It's above all a joyous read, as most Kalidasa is. This is one of those works that you read with a grin on your face the whole way through, even at its most tragic, simply because it's so beautiful. Kalidasa is a master of colours, images, sounds, and he uses them skillfully here to tell his simple yet resonant story.You may know what Śakuntalā is about even if you haven't read the previous incarnations of the story (most notably in the Mahabharata). There's an otherworldly princess, there's a mighty king, they flirt, they fall in love, they are separated, they suffer, they are finally reunited. Its the kind of old fairytale we are used to, the one we were read when we were children. Kalidasa makes this story feel new and young again. For starters, the big cast of characters is unforgettable: the heroine's sidekicks, the pious men in all their variations, the evil sorcerer (sort of), even a witty jester which predates Shakespeare for like a millenium. Those characters provide the colour, a colour mimicked by Kalidasa's evocative words.Śakuntalā is gorgeous, cute, perhaps too cute, religious, spiritual, whimsical, the kind of book that makes you feel like a young reader again. Don't we live for that kind of wide-eyed wonder?
...more"
22,"an almost 25 centuries old representation of male entitlement under the guise of ""love"" through which a man (in this case, who also happens to be a king, which reinforces the sense of entitlement and makes it even more unquestionable) demands to have access to and ""own"" the bodies of girls and women (in this case, the text refers only to shakuntala, but can we really say that this is an isolated event, especially when we consider the fact that the king has multiple ""wives"" already?) whenever and
an almost 25 centuries old representation of male entitlement under the guise of ""love"" through which a man (in this case, who also happens to be a king, which reinforces the sense of entitlement and makes it even more unquestionable) demands to have access to and ""own"" the bodies of girls and women (in this case, the text refers only to shakuntala, but can we really say that this is an isolated event, especially when we consider the fact that the king has multiple ""wives"" already?) whenever and wherever he likes and having done with, that is, after having sex with shakuntala, leaves with promises (that they're secretly married and she will be brought to his palace) and somehow (in this case, it's the workings of demons and because of a curse, yeah, what a welcome excuse!) does not even bother to remember her (well, because, he got what he wanted, huh?) and when she faces him when she is pregnant (what a surprise, he is without and hence in want of an heir and she will give birth to a son and this ensures the later embrace by the king), he rejects her claiming that no such thing has happened, that women are liars and deceitful beings who are not even considered to be human (though their ""breasts"" and ""buttocks"" are always worth mentioning and full emphasis). yeah, please, tell me more. *plucks-her-eyes-out*
...more"
23,"The first time I read this enormously enchanting play was way back in 2002. The attractiveness of verse, the sleek use of defined phrases and the combination of lofty idiom coupled with a never-before portrayal of human emotion has never left me since. Thematic component is an indispensable constituent in a literary subject. It is, ordinarily, a foremost appeal of the said topic. If truth be told, every litterateur places a ‘premise’ in their literary subject to shed light on a particular aspect
The first time I read this enormously enchanting play was way back in 2002. The attractiveness of verse, the sleek use of defined phrases and the combination of lofty idiom coupled with a never-before portrayal of human emotion has never left me since. Thematic component is an indispensable constituent in a literary subject. It is, ordinarily, a foremost appeal of the said topic. If truth be told, every litterateur places a ‘premise’ in their literary subject to shed light on a particular aspect. Kalidasa, has shown his world-class aptitude in the matter of presenting a theme in ‘The Recognition of Sakuntala’. Centering the characters of Dusyanta and Sakuntala, the dramatist has made ‘love’ the most potent theme here. The setting is marked by the beauties of the wooded Himalayan foothills, where the youthful hermitage-dwelling girl, Shakuntala, is enamoured with King Dusyanta. As the action expands—Shakuntala and the King falling in love, being disconnected by a curse, and in due course coming together, after years of anguish-filled pondering. 
...more"
